o3_8,o3,pm10,pm25,co,so2,so2_24,no2,aqi,aqi_rank
0,0.0,74.0,144.0,5.0,18.0,0,9.0,191.1094890510949,3
0,0.0,74.0,144.0,5.0,18.0,0,9.0,191.1094890510949,3
0,0.0,40.0,80.0,5.0,18.0,0,9.0,158.4087591240876,3
0,0.0,68.0,136.0,3.0,16.0,0,8.0,187.02189781021897,3
0,0.0,40.0,52.0,6.0,27.0,0,7.0,130.8148148148148,2
0,0.0,60.0,120.0,4.0,21.0,0,9.0,178.84671532846713,3
0,0.0,38.0,60.0,6.0,26.0,0,8.0,148.1897810218978,2
0,0.0,72.0,148.0,4.0,27.0,0,8.0,193.15328467153287,3
0,0.0,46.0,100.0,6.0,26.0,0,9.0,168.62773722627736,3
0,0.0,70.0,140.0,4.0,24.0,0,7.0,189.0656934306569,3
0,0.0,76.0,144.0,2.0,16.0,0,7.0,191.1094890510949,3
0,0.0,66.0,136.0,4.0,20.0,0,8.0,187.02189781021897,3
0,0.0,76.0,148.0,4.0,25.0,0,9.0,193.15328467153287,3
0,0.0,64.0,124.0,5.0,24.0,0,8.0,180.8905109489051,3
0,0.0,56.0,116.0,5.0,20.0,0,10.0,176.80291970802918,3
0,0.0,56.0,116.0,5.0,20.0,0,9.0,176.80291970802918,3
0,0.0,50.0,108.0,3.0,23.0,0,10.0,172.71532846715328,3
0,0.0,50.0,108.0,5.0,25.0,0,8.0,172.71532846715328,3
0,0.0,72.0,148.0,4.0,28.0,0,8.0,193.15328467153287,3
0,0.0,54.0,112.0,5.0,20.0,0,10.0,174.75912408759126,3
0,0.0,56.0,112.0,3.0,17.0,0,10.0,174.75912408759126,3
0,0.0,46.0,92.0,5.0,21.0,0,9.0,164.54014598540147,3
0,0.0,76.0,144.0,4.0,17.0,0,9.0,191.1094890510949,3
0,0.0,60.0,120.0,7.0,18.0,0,10.0,178.84671532846713,3
0,0.0,62.0,124.0,4.0,20.0,0,10.0,180.8905109489051,3
0,0.0,80.0,152.0,3.0,18.0,0,8.0,201.73573573573572,4
0,0.0,56.0,120.0,5.0,24.0,0,10.0,178.84671532846713,3
0,0.0,74.0,144.0,5.0,18.0,0,9.0,191.1094890510949,3
0,0.0,54.0,112.0,5.0,23.0,0,8.0,174.75912408759126,3
0,0.0,78.0,148.0,3.0,17.0,0,8.0,193.15328467153287,3
0,0.0,58.0,120.0,6.0,24.0,0,8.0,178.84671532846713,3
0,0.0,124.0,232.0,3.0,16.0,0,8.0,240.97497497497497,4
0,0.0,72.0,136.0,7.0,16.0,0,9.0,187.02189781021897,3
0,0.0,62.0,124.0,5.0,20.0,0,8.0,180.8905109489051,3
0,0.0,74.0,144.0,5.0,18.0,0,9.0,191.1094890510949,3
0,0.0,78.0,152.0,3.0,15.0,0,7.0,201.73573573573572,4
0,0.0,66.0,136.0,6.0,25.0,0,8.0,187.02189781021897,3
0,0.0,42.0,84.0,5.0,17.0,0,9.0,160.45255474452551,3
0,0.0,60.0,124.0,5.0,22.0,0,8.0,180.8905109489051,3
0,0.0,74.0,144.0,5.0,18.0,0,9.0,191.1094890510949,3
0,0.0,66.0,136.0,10.0,21.0,0,10.0,187.02189781021897,3
0,0.0,60.0,128.0,2.0,13.0,0,9.0,182.93430656934302,3
0,0.0,32.0,52.0,8.0,23.0,0,10.0,130.8148148148148,2
0,0.0,74.0,144.0,5.0,18.0,0,9.0,191.1094890510949,3
0,0.0,76.0,148.0,4.0,25.0,0,9.0,193.15328467153287,3
0,0.0,66.0,136.0,4.0,24.0,0,8.0,187.02189781021897,3
0,0.0,48.0,108.0,8.0,24.0,0,8.0,172.71532846715328,3
0,0.0,44.0,92.0,5.0,17.0,0,9.0,164.54014598540147,3
0,0.0,66.0,136.0,6.0,25.0,0,8.0,187.02189781021897,3
0,0.0,92.0,184.0,4.0,24.0,0,9.0,217.43143143143143,4
0,0.0,58.0,120.0,6.0,28.0,0,7.0,178.84671532846713,3
0,0.0,92.0,172.0,3.0,21.0,0,8.0,211.54554554554556,4
0,0.0,74.0,144.0,5.0,18.0,0,9.0,191.1094890510949,3
0,0.0,32.0,64.0,5.0,31.0,0,10.0,150.23357664233578,3
0,0.0,74.0,144.0,5.0,18.0,0,9.0,191.1094890510949,3
0,0.0,76.0,144.0,3.0,16.0,0,8.0,191.1094890510949,3
0,0.0,68.0,128.0,11.0,20.0,0,10.0,182.93430656934302,3
0,0.0,66.0,128.0,4.0,21.0,0,9.0,182.93430656934302,3
0,0.0,76.0,148.0,4.0,25.0,0,9.0,193.15328467153287,3
0,0.0,76.0,148.0,4.0,25.0,0,9.0,193.15328467153287,3
0,0.0,56.0,120.0,2.0,10.0,0,9.0,178.84671532846713,3
0,0.0,78.0,148.0,3.0,18.0,0,8.0,193.15328467153287,3
0,0.0,64.0,132.0,10.0,19.0,0,10.0,184.97810218978103,3
0,0.0,38.0,80.0,5.0,20.0,0,9.0,158.4087591240876,3
0,0.0,94.0,176.0,4.0,23.0,0,8.0,213.5075075075075,4
0,0.0,62.0,124.0,5.0,25.0,0,10.0,180.8905109489051,3
0,0.0,66.0,136.0,6.0,25.0,0,8.0,187.02189781021897,3
0,0.0,32.0,48.0,10.0,17.0,0,10.0,120.44444444444444,2
0,0.0,76.0,148.0,4.0,25.0,0,9.0,193.15328467153287,3
0,0.0,52.0,116.0,4.0,19.0,0,9.0,176.80291970802918,3
0,0.0,70.0,136.0,4.0,16.0,0,9.0,187.02189781021897,3
0,0.0,66.0,136.0,6.0,25.0,0,8.0,187.02189781021897,3
0,0.0,92.0,172.0,4.0,28.0,0,8.0,211.54554554554556,4
0,0.0,64.0,128.0,4.0,28.0,0,10.0,182.93430656934302,3
0,0.0,56.0,116.0,5.0,18.0,0,10.0,176.80291970802918,3
0,0.0,70.0,136.0,4.0,16.0,0,9.0,187.02189781021897,3
0,0.0,74.0,144.0,5.0,18.0,0,9.0,191.1094890510949,3
0,0.0,74.0,144.0,5.0,18.0,0,9.0,191.1094890510949,3
0,0.0,38.0,84.0,6.0,24.0,0,8.0,160.45255474452551,3
0,0.0,70.0,136.0,4.0,16.0,0,9.0,187.02189781021897,3
0,0.0,56.0,112.0,5.0,26.0,0,10.0,174.75912408759126,3
0,0.0,54.0,116.0,2.0,11.0,0,8.0,176.80291970802918,3
0,0.0,92.0,172.0,3.0,22.0,0,8.0,211.54554554554556,4
0,0.0,96.0,176.0,4.0,24.0,0,8.0,213.5075075075075,4
0,0.0,50.0,104.0,4.0,20.0,0,9.0,170.67153284671534,3
0,0.0,32.0,60.0,7.0,20.0,0,10.0,148.1897810218978,2
0,0.0,32.0,52.0,11.0,25.0,0,10.0,130.8148148148148,2
0,0.0,76.0,148.0,4.0,25.0,0,9.0,193.15328467153287,3
0,0.0,66.0,136.0,6.0,25.0,0,8.0,187.02189781021897,3
0,0.0,64.0,124.0,6.0,24.0,0,9.0,180.8905109489051,3
0,0.0,66.0,128.0,3.0,15.0,0,8.0,182.93430656934302,3
0,0.0,74.0,144.0,5.0,18.0,0,9.0,191.1094890510949,3
0,0.0,54.0,112.0,4.0,18.0,0,9.0,174.75912408759126,3
0,0.0,84.0,160.0,3.0,18.0,0,8.0,205.6596596596597,4
0,0.0,68.0,136.0,3.0,16.0,0,8.0,187.02189781021897,3
0,0.0,32.0,48.0,4.0,18.0,0,8.0,120.44444444444444,2
0,0.0,66.0,136.0,6.0,25.0,0,8.0,187.02189781021897,3
0,0.0,66.0,136.0,6.0,25.0,0,8.0,187.02189781021897,3
0,0.0,120.0,224.0,3.0,18.0,0,8.0,237.05105105105102,4
0,0.0,58.0,116.0,10.0,21.0,0,10.0,176.80291970802918,3
0,0.0,54.0,116.0,5.0,23.0,0,9.0,176.80291970802918,3
0,0.0,80.0,152.0,7.0,14.0,0,9.0,201.73573573573572,4
0,0.0,78.0,148.0,3.0,19.0,0,8.0,193.15328467153287,3
0,0.0,42.0,72.0,4.0,19.0,0,8.0,154.3211678832117,3
0,0.0,30.0,48.0,8.0,22.0,0,9.0,120.44444444444444,2
0,0.0,32.0,56.0,9.0,20.0,0,10.0,146.14598540145985,2
0,0.0,64.0,124.0,7.0,20.0,0,9.0,180.8905109489051,3
0,0.0,74.0,144.0,5.0,18.0,0,9.0,191.1094890510949,3
0,0.0,52.0,108.0,2.0,15.0,0,9.0,172.71532846715328,3
0,0.0,82.0,156.0,3.0,21.0,0,9.0,203.6976976976977,4
0,0.0,68.0,136.0,3.0,16.0,0,8.0,187.02189781021897,3
0,0.0,64.0,128.0,4.0,15.0,0,8.0,182.93430656934302,3
0,0.0,70.0,136.0,3.0,16.0,0,8.0,187.02189781021897,3
0,0.0,92.0,184.0,3.0,19.0,0,8.0,217.43143143143143,4
0,0.0,58.0,116.0,4.0,14.0,0,8.0,176.80291970802918,3
0,0.0,32.0,56.0,5.0,18.0,0,8.0,146.14598540145985,2
0,0.0,82.0,156.0,3.0,21.0,0,8.0,203.6976976976977,4
0,0.0,58.0,116.0,6.0,25.0,0,9.0,176.80291970802918,3
0,0.0,76.0,152.0,2.0,13.0,0,8.0,201.73573573573572,4
0,0.0,66.0,136.0,6.0,25.0,0,8.0,187.02189781021897,3
0,0.0,52.0,104.0,4.0,18.0,0,10.0,170.67153284671534,3
0,0.0,68.0,136.0,3.0,16.0,0,8.0,187.02189781021897,3
0,0.0,64.0,128.0,3.0,18.0,0,8.0,182.93430656934302,3
0,0.0,62.0,120.0,4.0,24.0,0,8.0,178.84671532846713,3
0,0.0,68.0,136.0,3.0,16.0,0,8.0,187.02189781021897,3
0,0.0,82.0,156.0,7.0,16.0,0,9.0,203.6976976976977,4
0,0.0,44.0,96.0,2.0,17.0,0,8.0,166.5839416058394,3
0,0.0,70.0,136.0,4.0,16.0,0,9.0,187.02189781021897,3
0,0.0,56.0,120.0,3.0,21.0,0,8.0,178.84671532846713,3
0,0.0,32.0,56.0,11.0,24.0,0,10.0,146.14598540145985,2
0,0.0,80.0,156.0,4.0,24.0,0,9.0,203.6976976976977,4
0,0.0,32.0,56.0,5.0,21.0,0,8.0,146.14598540145985,2
0,0.0,118.0,220.0,3.0,20.0,0,8.0,235.0890890890891,4
0,0.0,38.0,80.0,4.0,19.0,0,9.0,158.4087591240876,3
0,0.0,64.0,124.0,8.0,25.0,0,10.0,180.8905109489051,3
0,0.0,74.0,148.0,2.0,15.0,0,8.0,193.15328467153287,3
0,0.0,40.0,88.0,6.0,20.0,0,8.0,162.4963503649635,3
0,0.0,56.0,120.0,4.0,26.0,0,9.0,178.84671532846713,3
0,0.0,42.0,84.0,4.0,19.0,0,8.0,160.45255474452551,3
0,0.0,74.0,144.0,5.0,18.0,0,9.0,191.1094890510949,3
0,0.0,74.0,144.0,5.0,18.0,0,9.0,191.1094890510949,3
0,0.0,64.0,124.0,7.0,18.0,0,10.0,180.8905109489051,3
0,0.0,78.0,156.0,4.0,23.0,0,8.0,203.6976976976977,4
0,0.0,58.0,120.0,5.0,20.0,0,8.0,178.84671532846713,3
0,0.0,126.0,236.0,3.0,17.0,0,8.0,242.93693693693692,4
0,0.0,36.0,76.0,7.0,38.0,0,9.0,156.36496350364962,3
0,0.0,50.0,108.0,5.0,20.0,0,10.0,172.71532846715328,3
0,0.0,52.0,104.0,6.0,20.0,0,9.0,170.67153284671534,3
0,0.0,86.0,160.0,8.0,18.0,0,9.0,205.6596596596597,4
0,0.0,50.0,108.0,6.0,29.0,0,9.0,172.71532846715328,3
0,0.0,64.0,132.0,4.0,26.0,0,8.0,184.97810218978103,3
0,0.0,44.0,76.0,5.0,18.0,0,8.0,156.36496350364962,3
0,0.0,54.0,116.0,5.0,32.0,0,10.0,176.80291970802918,3
0,0.0,44.0,96.0,3.0,20.0,0,8.0,166.5839416058394,3
0,0.0,76.0,148.0,4.0,25.0,0,9.0,193.15328467153287,3
0,0.0,62.0,124.0,5.0,23.0,0,9.0,180.8905109489051,3
